name,pos,team,fpts,each_fumble_recovered,each_interception,each_pass_completed_&_each_pass_attempted,each_reception,each_sack,extra_points_made_,fantasy_points,field_goals_made_,interceptions_thrown,passing_yards,points_allowed,receiving_target,receiving_yards,receiving_yards_per_catch,rushing_attempts,rushing_yards,rushing_yards_per_attempt,td_pass,td_reception,td_rush,total_return_td,yards_allowed
Darwin Thompson,RB,KC,18.9,,,,9.0,,,18.9,,,,,,68.0,,17.0,69.0,4.0,,0.0,0.0,,
Benny Snell Jr.,RB,PIT,32.4,,,,7.0,,,32.4,,,,,,57.0,,44.0,175.0,4.0,,0.0,1.0,,
Justice Hill,RB,BAL,21.0,,,,6.0,,,21.0,,,,,,52.0,,27.0,111.0,4.1,,0.0,1.0,,
Mike Davis,RB,CHI,42.2,,,,8.0,,,42.2,,,,,,61.0,,60.0,253.0,4.2,,0.0,2.0,,
Chase Edmonds,RB,ARI,44.5,,,,16.0,,,44.5,,,,,,125.0,,51.0,211.0,4.1,,1.0,1.0,,
Doug Martin,RB,OAK,43.9,,,,9.0,,,43.9,,,,,,68.0,,60.0,248.0,4.1,,0.0,2.0,,
Rex Burkhead,RB,NE,46.0,,,,18.0,,,46.0,,,,,,166.0,,38.0,151.0,4.0,,1.0,2.0,,
Wayne Gallman,RB,NYG,39.8,,,,8.0,,,39.8,,,,,,60.0,,60.0,249.0,4.1,,0.0,1.0,,
T.J. Hockenson,TE,DET,70.1,,,,43.0,,,70.1,,,,,65.0,481.0,11.2,0.0,0.0,,,4.0,0.0,,
Mike Gesicki,TE,MIA,72.6,,,,51.0,,,72.6,,,,,76.0,557.0,10.9,0.0,0.0,,,3.0,0.0,,
Sam Darnold,QB,NYJ,239.0,,,324.0,,,,239.0,,16.0,3771.0,,,,,51.0,150.0,,25.0,,2.0,,
Quincy Enunwa,WR,NYJ,73.5,,,,43.0,,,73.5,,,,,78.0,564.0,13.0,0.0,0.0,,,3.0,0.0,,
Willie Snead IV,WR,BAL,67.7,,,,51.0,,,67.7,,,,,79.0,588.0,11.6,0.0,0.0,,,2.0,0.0,,
John Brown,WR,BUF,88.6,,,,40.0,,,88.6,,,,,85.0,648.0,16.2,0.0,0.0,,,4.0,0.0,,
Cole Beasley,WR,BUF,74.5,,,,57.0,,,74.5,,,,,80.0,601.0,10.6,0.0,0.0,,,2.0,0.0,,
Robert Foster,WR,BUF,76.9,,,,36.0,,,76.9,,,,,66.0,602.0,16.5,0.0,0.0,,,3.0,0.0,,
Demaryius Thomas,WR,NE,35.5,,,,21.0,,,35.5,,,,,33.0,256.0,12.4,0.0,0.0,,,2.0,0.0,,
Jimmy Garoppolo,QB,SF,253.0,,,347.0,,,,253.0,,13.0,4283.0,,,,,41.0,87.0,,25.0,,2.0,,
Josh Allen,QB,BUF,264.8,,,285.0,,,,264.8,,15.0,3380.0,,,,,101.0,577.0,,17.0,,7.0,,
Eagles D/ST,D/ST,PHI,95.7,8.0,11.0,,,43.0,,95.7,,,,327.0,,,,,,,,,,3.0,5501.0
Browns D/ST,D/ST,CLE,96.5,9.0,14.0,,,41.0,,96.5,,,,349.0,,,,,,,,,,3.0,5777.0
Mason Crosby,K,GB,114.0,,,,,,40.0,114.0,16.0,,,,,,,,,,,,,,
Ryan Succop,K,TEN,112.1,,,,,,34.0,112.1,17.0,,,,,,,,,,,,,,
Danny Amendola,WR,DET,71.0,,,,56.0,,,71.0,,,,,75.0,554.0,9.9,2.0,12.0,,,2.0,0.0,,
Marquise Goodwin,WR,SF,76.5,,,,34.0,,,76.5,,,,,65.0,543.0,16.2,2.0,11.0,,,3.0,0.0,,
Randall Cobb,WR,DAL,67.3,,,,44.0,,,67.3,,,,,66.0,463.0,10.5,4.0,19.0,,,3.0,0.0,,
Taylor Gabriel,WR,CHI,80.7,,,,52.0,,,80.7,,,,,78.0,586.0,11.3,8.0,53.0,,,3.0,0.0,,
Josh Doctson,WR,WSH,83.1,,,,44.0,,,83.1,,,,,80.0,588.0,13.3,0.0,0.0,,,4.0,0.0,,
Zay Jones,WR,BUF,58.7,,,,33.0,,,58.7,,,,,61.0,415.0,12.5,0.0,0.0,,,3.0,0.0,,
David Moore,WR,SEA,75.2,,,,33.0,,,75.2,,,,,57.0,490.0,15.0,0.0,0.0,,,4.0,0.0,,
Nelson Agholor,WR,PHI,67.8,,,,40.0,,,67.8,,,,,61.0,452.0,11.4,4.0,26.0,,,3.0,0.0,,
Travis Benjamin,WR,LAC,64.5,,,,30.0,,,64.5,,,,,53.0,440.0,14.7,8.0,49.0,,,3.0,0.0,,
Chris Conley,WR,JAX,55.4,,,,36.0,,,55.4,,,,,56.0,417.0,11.5,0.0,0.0,,,2.0,0.0,,
Frank Gore,RB,BUF,70.8,,,,10.0,,,70.8,,,,,,83.0,,119.0,524.0,4.4,,0.0,2.0,,
Malcolm Brown,RB,LAR,16.3,,,,4.0,,,16.3,,,,,,33.0,,22.0,91.0,4.2,,0.0,0.0,,
Ryquell Armstead,RB,JAX,29.8,,,,13.0,,,29.8,,,,,,103.0,,32.0,127.0,4.0,,0.0,1.0,,
Ty Montgomery,RB,NYJ,41.5,,,,20.0,,,41.5,,,,,,171.0,,32.0,145.0,4.6,,1.0,1.0,,
Alfred Blue,RB,JAX,46.6,,,,13.0,,,46.6,,,,,,104.0,,72.0,273.0,3.8,,0.0,1.0,,
Devontae Booker,RB,DEN,29.7,,,,25.0,,,29.7,,,,,,200.0,,12.0,47.0,4.0,,1.0,0.0,,
T.J. Yeldon,RB,BUF,33.6,,,,21.0,,,33.6,,,,,,171.0,,25.0,106.0,4.2,,1.0,0.0,,
Kenneth Dixon,RB,BAL,31.3,,,,13.0,,,31.3,,,,,,103.0,,33.0,145.0,4.4,,0.0,1.0,,
Derek Carr,QB,OAK,241.1,,,372.0,,,,241.1,,11.0,4161.0,,,,,24.0,66.0,,24.0,,0.0,,
Matthew Stafford,QB,DET,244.0,,,357.0,,,,244.0,,11.0,3904.0,,,,,26.0,112.0,,24.0,,1.0,,
Marcus Mariota,QB,TEN,224.8,,,290.0,,,,224.8,,10.0,3230.0,,,,,70.0,373.0,,17.0,,3.0,,
Tyler Eifert,TE,CIN,71.9,,,,42.0,,,71.9,,,,,60.0,498.0,11.9,0.0,0.0,,,4.0,0.0,,
Will Dissly,TE,SEA,76.9,,,,41.0,,,76.9,,,,,61.0,502.0,12.3,0.0,0.0,,,4.0,0.0,,
Mark Andrews,TE,BAL,71.0,,,,39.0,,,71.0,,,,,61.0,533.0,13.5,0.0,0.0,,,3.0,0.0,,
Benjamin Watson,TE,NE,41.1,,,,25.0,,,41.1,,,,,35.0,283.0,11.3,0.0,0.0,,,2.0,0.0,,
J.D. McKissic,RB,SEA,26.3,,,,17.0,,,26.3,,,,,,145.0,,9.0,38.0,4.2,,1.0,0.0,,
John Ross,WR,CIN,57.0,,,,31.0,,,57.0,,,,,60.0,366.0,11.9,4.0,22.0,,,3.0,0.0,,
Trey Quinn,WR,WSH,57.2,,,,34.0,,,57.2,,,,,54.0,422.0,12.4,4.0,18.0,,,2.0,0.0,,
Ravens D/ST,D/ST,BAL,90.9,7.0,15.0,,,34.0,,90.9,,,,337.0,,,,,,,,,,3.0,5606.0
Steelers D/ST,D/ST,PIT,92.3,8.0,11.0,,,43.0,,92.3,,,,359.0,,,,,,,,,,3.0,5627.0
Aldrick Rosas,K,NYG,110.5,,,,,,32.0,110.5,17.0,,,,,,,,,,,,,,
Giorgio Tavecchio,K,ATL,112.5,,,,,,41.0,112.5,16.0,,,,,,,,,,,,,,
Jason Witten,TE,DAL,68.2,,,,48.0,,,68.2,,,,,66.0,470.0,9.8,0.0,0.0,,,4.0,0.0,,
Dallas Goedert,TE,PHI,66.3,,,,39.0,,,66.3,,,,,56.0,413.0,10.6,0.0,0.0,,,4.0,0.0,,
Gerald Everett,TE,LAR,52.6,,,,30.0,,,52.6,,,,,48.0,348.0,11.5,0.0,0.0,,,3.0,0.0,,
Diontae Johnson,WR,PIT,34.4,,,,20.0,,,34.4,,,,,32.0,255.0,12.9,0.0,0.0,,,1.0,0.0,,
Antonio Callaway,WR,CLE,62.2,,,,29.0,,,62.2,,,,,50.0,405.0,14.0,0.0,0.0,,,3.0,0.0,,
Jakeem Grant,WR,MIA,52.2,,,,30.0,,,52.2,,,,,49.0,386.0,12.7,0.0,0.0,,,1.0,0.0,,
Miles Boykin,WR,BAL,42.2,,,,23.0,,,42.2,,,,,39.0,321.0,14.1,0.0,0.0,,,2.0,0.0,,
Mark Walton,RB,MIA,37.0,,,,6.0,,,37.0,,,,,,50.0,,57.0,236.0,4.2,,0.0,1.0,,
Andre Ellington,RB,TB,28.2,,,,12.0,,,28.2,,,,,,107.0,,26.0,107.0,4.2,,0.0,1.0,,
Andy Dalton,QB,CIN,235.3,,,351.0,,,,235.3,,14.0,4045.0,,,,,33.0,126.0,,21.0,,1.0,,
Eli Manning,QB,NYG,180.4,,,294.0,,,,180.4,,9.0,3192.0,,,,,17.0,23.0,,17.0,,1.0,,
Josh Rosen,QB,MIA,206.7,,,344.0,,,,206.7,,16.0,3903.0,,,,,33.0,160.0,,17.0,,1.0,,
Joe Flacco,QB,DEN,161.2,,,272.0,,,,161.2,,9.0,2936.0,,,,,17.0,38.0,,14.0,,1.0,,
Nick Foles,QB,JAX,204.4,,,371.0,,,,204.4,,15.0,4042.0,,,,,25.0,9.0,,18.0,,1.0,,
Gary Jennings Jr.,WR,SEA,39.4,,,,23.0,,,39.4,,,,,35.0,283.0,12.5,0.0,0.0,,,2.0,0.0,,
Equanimeous St. Brown,WR,GB,31.3,,,,17.0,,,31.3,,,,,28.0,231.0,13.8,0.0,0.0,,,1.0,0.0,,
Terry McLaurin,WR,WSH,43.2,,,,26.0,,,43.2,,,,,43.0,341.0,13.4,0.0,0.0,,,2.0,0.0,,
JJ Arcega-Whiteside,WR,PHI,33.8,,,,17.0,,,33.8,,,,,28.0,225.0,13.5,0.0,0.0,,,2.0,0.0,,
Phillip Dorsett,WR,NE,39.5,,,,20.0,,,39.5,,,,,32.0,277.0,14.1,2.0,14.0,,,2.0,0.0,,
Bryce Love,RB,WSH,12.4,,,,5.0,,,12.4,,,,,,42.0,,13.0,54.0,4.0,,0.0,0.0,,
Cameron Artis-Payne,RB,CAR,30.9,,,,8.0,,,30.9,,,,,,63.0,,38.0,154.0,4.1,,0.0,1.0,,
Tony Pollard,RB,DAL,25.7,,,,10.0,,,25.7,,,,,,77.0,,25.0,101.0,4.1,,0.0,1.0,,
Elijah McGuire,RB,NYJ,30.4,,,,4.0,,,30.4,,,,,,33.0,,48.0,190.0,4.0,,0.0,1.0,,
Corey Clement,RB,PHI,24.7,,,,9.0,,,24.7,,,,,,76.0,,24.0,101.0,4.2,,0.0,1.0,,
Mike Boone,RB,MIN,25.9,,,,4.0,,,25.9,,,,,,33.0,,37.0,156.0,4.2,,0.0,1.0,,
Bruce Anderson,RB,TB,18.8,,,,9.0,,,18.8,,,,,,67.0,,18.0,76.0,4.1,,0.0,0.0,,
Jordan Wilkins,RB,IND,18.5,,,,7.0,,,18.5,,,,,,54.0,,20.0,86.0,4.3,,0.0,0.0,,
Josh Reynolds,WR,LAR,27.8,,,,12.0,,,27.8,,,,,21.0,157.0,13.2,4.0,23.0,,,2.0,0.0,,
Chiefs D/ST,D/ST,KC,88.7,8.0,14.0,,,42.0,,88.7,,,,387.0,,,,,,,,,,3.0,6030.0
Redskins D/ST,D/ST,WSH,89.5,9.0,11.0,,,45.0,,89.5,,,,373.0,,,,,,,,,,3.0,5756.0
Graham Gano,K,CAR,109.8,,,,,,38.0,109.8,15.0,,,,,,,,,,,,,,
Jason Myers,K,SEA,105.5,,,,,,41.0,105.5,14.0,,,,,,,,,,,,,,
Jordan Thomas,TE,HOU,42.4,,,,25.0,,,42.4,,,,,35.0,273.0,11.0,0.0,0.0,,,3.0,0.0,,
Matt LaCosse,TE,NE,13.9,,,,8.0,,,13.9,,,,,12.0,94.0,11.5,0.0,0.0,,,1.0,0.0,,
Hayden Hurst,TE,BAL,43.3,,,,28.0,,,43.3,,,,,44.0,326.0,11.6,0.0,0.0,,,2.0,0.0,,
Dawson Knox,TE,BUF,33.4,,,,21.0,,,33.4,,,,,33.0,264.0,12.5,0.0,0.0,,,1.0,0.0,,
Josh Oliver,TE,JAX,28.3,,,,19.0,,,28.3,,,,,28.0,224.0,11.8,0.0,0.0,,,1.0,0.0,,
Chris Moore,WR,BAL,34.6,,,,18.0,,,34.6,,,,,31.0,227.0,12.5,5.0,31.0,,,1.0,0.0,,
Tim Patrick,WR,DEN,54.3,,,,33.0,,,54.3,,,,,55.0,412.0,12.5,4.0,19.0,,,2.0,0.0,,
Dwayne Haskins,QB,WSH,146.4,,,234.0,,,,146.4,,11.0,2721.0,,,,,19.0,47.0,,14.0,,1.0,,
Cowboys D/ST,D/ST,DAL,82.6,8.0,10.0,,,36.0,,82.6,,,,354.0,,,,,,,,,,3.0,5616.0
Jets D/ST,D/ST,NYJ,87.6,8.0,13.0,,,36.0,,87.6,,,,344.0,,,,,,,,,,3.0,5719.0
Lions D/ST,D/ST,DET,84.7,8.0,13.0,,,35.0,,84.7,,,,358.0,,,,,,,,,,3.0,5734.0
Cardinals D/ST,D/ST,ARI,84.4,10.0,10.0,,,41.0,,84.4,,,,370.0,,,,,,,,,,3.0,5840.0
Case Keenum,QB,WSH,68.9,,,112.0,,,,68.9,,4.0,1233.0,,,,,10.0,36.0,,6.0,,0.0,,
Ryan Fitzpatrick,QB,MIA,5.0,,,7.0,,,,5.0,,0.0,97.0,,,,,1.0,4.0,,0.0,,0.0,,
Trenton Cannon,RB,NYJ,16.4,,,,8.0,,,16.4,,,,,,66.0,,8.0,33.0,4.2,,0.0,0.0,,
Dexter Williams,RB,GB,19.6,,,,4.0,,,19.6,,,,,,33.0,,28.0,114.0,4.0,,0.0,1.0,,
Benny Cunningham,RB,JAX,13.2,,,,9.0,,,13.2,,,,,,76.0,,8.0,33.0,4.1,,0.0,0.0,,
Justin Jackson,RB,LAC,15.6,,,,4.0,,,15.6,,,,,,34.0,,20.0,84.0,4.2,,0.0,0.0,,
Jordan Scarlett,RB,CAR,15.9,,,,4.0,,,15.9,,,,,,30.0,,21.0,85.0,4.1,,0.0,1.0,,
Javorius Allen,RB,NO,14.4,,,,4.0,,,14.4,,,,,,29.0,,17.0,67.0,3.9,,0.0,1.0,,
Qadree Ollison,RB,ATL,15.8,,,,2.0,,,15.8,,,,,,17.0,,25.0,99.0,4.0,,0.0,1.0,,
Drew Lock,QB,DEN,58.1,,,90.0,,,,58.1,,5.0,1060.0,,,,,8.0,32.0,,5.0,,0.0,,
Irv Smith Jr.,TE,MIN,29.6,,,,18.0,,,29.6,,,,,27.0,205.0,11.6,0.0,0.0,,,2.0,0.0,,
Charles Clay,TE,ARI,27.2,,,,20.0,,,27.2,,,,,31.0,206.0,10.3,0.0,0.0,,,1.0,0.0,,
Darren Waller,TE,OAK,43.7,,,,27.0,,,43.7,,,,,39.0,286.0,10.7,0.0,0.0,,,3.0,0.0,,
Geoff Swaim,TE,JAX,38.3,,,,29.0,,,38.3,,,,,40.0,302.0,10.4,0.0,0.0,,,1.0,0.0,,
Daniel Jones,QB,NYG,44.9,,,66.0,,,,44.9,,4.0,758.0,,,,,7.0,34.0,,4.0,,0.0,,
Ryan Tannehill,QB,TEN,15.3,,,22.0,,,,15.3,,1.0,240.0,,,,,5.0,22.0,,1.0,,0.0,,
Robert Griffin III,QB,BAL,11.9,,,12.0,,,,11.9,,0.0,138.0,,,,,6.0,34.0,,1.0,,0.0,,
Will Grier,QB,CAR,4.2,,,6.0,,,,4.2,,0.0,75.0,,,,,0.0,0.0,,0.0,,0.0,,
Teddy Bridgewater,QB,NO,4.7,,,7.0,,,,4.7,,0.0,74.0,,,,,0.0,1.0,,1.0,,0.0,,
Boston Scott,RB,PHI,13.1,,,,4.0,,,13.1,,,,,,33.0,,12.0,45.0,3.7,,0.0,0.0,,
Myles Gaskin,RB,MIA,12.9,,,,2.0,,,12.9,,,,,,16.0,,21.0,85.0,4.0,,0.0,0.0,,
Mike Weber,RB,DAL,11.8,,,,2.0,,,11.8,,,,,,15.0,,16.0,65.0,4.0,,0.0,1.0,,
Jace Sternberger,TE,GB,32.8,,,,19.0,,,32.8,,,,,28.0,211.0,11.4,0.0,0.0,,,2.0,0.0,,
Vernon Davis,TE,WSH,40.9,,,,25.0,,,40.9,,,,,38.0,331.0,13.2,0.0,0.0,,,1.0,0.0,,
Cameron Brate,TE,TB,38.7,,,,23.0,,,38.7,,,,,34.0,250.0,11.0,0.0,0.0,,,2.0,0.0,,
Tyler Higbee,TE,LAR,30.0,,,,17.0,,,30.0,,,,,26.0,192.0,11.5,0.0,0.0,,,2.0,0.0,,
Tyler Kroft,TE,BUF,23.6,,,,16.0,,,23.6,,,,,24.0,167.0,10.4,0.0,0.0,,,1.0,0.0,,
Jordan Akins,TE,HOU,26.9,,,,17.0,,,26.9,,,,,25.0,195.0,11.4,0.0,0.0,,,1.0,0.0,,
C.J. Uzomah,TE,CIN,20.4,,,,14.0,,,20.4,,,,,22.0,148.0,10.2,0.0,0.0,,,1.0,0.0,,
Kahale Warring,TE,HOU,20.3,,,,13.0,,,20.3,,,,,20.0,143.0,10.8,0.0,0.0,,,1.0,0.0,,
Luke Willson,TE,OAK,27.1,,,,20.0,,,27.1,,,,,28.0,193.0,9.8,0.0,0.0,,,1.0,0.0,,
Ian Thomas,TE,CAR,26.4,,,,18.0,,,26.4,,,,,25.0,183.0,10.4,0.0,0.0,,,1.0,0.0,,
Maxx Williams,TE,ARI,24.5,,,,19.0,,,24.5,,,,,26.0,171.0,9.0,0.0,0.0,,,1.0,0.0,,
Mo Alie-Cox,TE,IND,15.0,,,,8.0,,,15.0,,,,,12.0,94.0,12.2,0.0,0.0,,,1.0,0.0,,
Jacoby Brissett,QB,IND,5.8,,,7.0,,,,5.8,,0.0,82.0,,,,,1.0,4.0,,1.0,,0.0,,
Nate Sudfeld,QB,PHI,13.7,,,18.0,,,,13.7,,1.0,213.0,,,,,1.0,3.0,,2.0,,0.0,,
Nick Mullens,QB,SF,5.2,,,7.0,,,,5.2,,0.0,93.0,,,,,0.0,0.0,,1.0,,0.0,,
Taysom Hill,QB,NO,29.6,,,3.0,,,,29.6,,0.0,35.0,,,,,31.0,172.0,,0.0,,2.0,,
Blake Bortles,QB,LAR,5.0,,,6.0,,,,5.0,,0.0,73.0,,,,,1.0,5.0,,1.0,,0.0,,
DeShone Kizer,QB,GB,5.5,,,7.0,,,,5.5,,0.0,77.0,,,,,1.0,6.0,,1.0,,0.0,,
Chad Henne,QB,KC,5.5,,,7.0,,,,5.5,,0.0,83.0,,,,,0.0,1.0,,1.0,,0.0,,
Drew Stanton,QB,CLE,4.3,,,6.0,,,,4.3,,0.0,72.0,,,,,0.0,0.0,,1.0,,0.0,,
Joshua Dobbs,QB,PIT,5.2,,,8.0,,,,5.2,,0.0,88.0,,,,,0.0,1.0,,1.0,,0.0,,
Brett Hundley,QB,ARI,11.2,,,17.0,,,,11.2,,1.0,176.0,,,,,2.0,9.0,,1.0,,0.0,,
Daniel Carlson,K,OAK,106.7,,,,,,32.0,106.7,16.0,,,,,,,,,,,,,,
Dan Bailey,K,MIN,107.4,,,,,,34.0,107.4,16.0,,,,,,,,,,,,,,
Chris Boswell,K,PIT,106.5,,,,,,39.0,106.5,15.0,,,,,,,,,,,,,,
Austin Seibert,K,CLE,105.7,,,,,,39.0,105.7,15.0,,,,,,,,,,,,,,
Matt Gay,K,TB,103.3,,,,,,33.0,103.3,15.0,,,,,,,,,,,,,,
Brandon McManus,K,DEN,95.8,,,,,,29.0,95.8,15.0,,,,,,,,,,,,,,
Stephen Hauschka,K,BUF,99.2,,,,,,30.0,99.2,15.0,,,,,,,,,,,,,,
Josh Lambo,K,JAX,99.7,,,,,,30.0,99.7,15.0,,,,,,,,,,,,,,
Chandler Catanzaro,K,NYJ,100.8,,,,,,32.0,100.8,15.0,,,,,,,,,,,,,,
Eddy Pineiro,K,CHI,103.6,,,,,,35.0,103.6,15.0,,,,,,,,,,,,,,
Jason Sanders,K,MIA,94.2,,,,,,27.0,94.2,15.0,,,,,,,,,,,,,,
Randy Bullock,K,CIN,96.1,,,,,,31.0,96.1,14.0,,,,,,,,,,,,,,
Dustin Hopkins,K,WSH,92.3,,,,,,29.0,92.3,14.0,,,,,,,,,,,,,,
Zane Gonzalez,K,ARI,96.8,,,,,,32.0,96.8,15.0,,,,,,,,,,,,,,
Falcons D/ST,D/ST,ATL,85.0,9.0,13.0,,,36.0,,85.0,,,,381.0,,,,,,,,,,3.0,5859.0
Panthers D/ST,D/ST,CAR,87.9,10.0,12.0,,,43.0,,87.9,,,,391.0,,,,,,,,,,3.0,5901.0
Seahawks D/ST,D/ST,SEA,78.9,8.0,12.0,,,37.0,,78.9,,,,386.0,,,,,,,,,,3.0,5942.0
Packers D/ST,D/ST,GB,79.1,6.0,10.0,,,40.0,,79.1,,,,364.0,,,,,,,,,,2.0,5667.0
49ers D/ST,D/ST,SF,83.1,9.0,9.0,,,41.0,,83.1,,,,394.0,,,,,,,,,,3.0,5782.0
Bengals D/ST,D/ST,CIN,74.6,7.0,15.0,,,36.0,,74.6,,,,366.0,,,,,,,,,,3.0,6117.0
Giants D/ST,D/ST,NYG,72.7,7.0,11.0,,,37.0,,72.7,,,,400.0,,,,,,,,,,2.0,5825.0
Dolphins D/ST,D/ST,MIA,68.2,7.0,17.0,,,27.0,,68.2,,,,402.0,,,,,,,,,,4.0,6089.0
Buccaneers D/ST,D/ST,TB,57.3,8.0,9.0,,,33.0,,57.3,,,,411.0,,,,,,,,,,2.0,6103.0
Raiders D/ST,D/ST,OAK,50.2,6.0,11.0,,,26.0,,50.2,,,,408.0,,,,,,,,,,3.0,6070.0
Jarius Wright,WR,CAR,50.0,,,,32.0,,,50.0,,,,,46.0,352.0,11.0,4.0,29.0,,,2.0,0.0,,
Demarcus Robinson,WR,KC,46.4,,,,24.0,,,46.4,,,,,38.0,308.0,12.8,0.0,0.0,,,3.0,0.0,,
Chad Beebe,WR,MIN,46.1,,,,33.0,,,46.1,,,,,48.0,358.0,10.9,0.0,0.0,,,2.0,0.0,,
Breshad Perriman,WR,TB,44.0,,,,21.0,,,44.0,,,,,40.0,307.0,14.7,4.0,20.0,,,2.0,0.0,,
J.J. Nelson,WR,OAK,44.6,,,,19.0,,,44.6,,,,,39.0,300.0,16.1,4.0,22.0,,,2.0,0.0,,
Jalen Hurd,WR,SF,40.0,,,,17.0,,,40.0,,,,,27.0,218.0,13.1,13.0,80.0,,,1.0,0.0,,
Hunter Renfrow,WR,OAK,32.1,,,,23.0,,,32.1,,,,,33.0,249.0,10.6,0.0,0.0,,,1.0,0.0,,
Chris Hogan,WR,CAR,36.9,,,,18.0,,,36.9,,,,,30.0,261.0,14.3,0.0,0.0,,,2.0,0.0,,
Rashard Higgins,WR,CLE,34.2,,,,18.0,,,34.2,,,,,28.0,243.0,13.3,0.0,0.0,,,2.0,0.0,,
Kelvin Harmon,WR,WSH,33.4,,,,18.0,,,33.4,,,,,32.0,258.0,14.0,0.0,0.0,,,1.0,0.0,,
Ryan Switzer,WR,PIT,19.8,,,,9.0,,,19.8,,,,,13.0,95.0,10.7,6.0,34.0,,,1.0,0.0,,
Kyle Juszczyk,RB,SF,27.3,,,,21.0,,,27.3,,,,,,191.0,,4.0,16.0,4.2,,1.0,0.0,,
Justin Watson,WR,TB,30.9,,,,18.0,,,30.9,,,,,29.0,224.0,12.6,0.0,0.0,,,1.0,0.0,,
Cody Latimer,WR,NYG,30.4,,,,17.0,,,30.4,,,,,27.0,229.0,13.7,0.0,0.0,,,1.0,0.0,,
Jordan Taylor,WR,MIN,18.2,,,,10.0,,,18.2,,,,,16.0,128.0,12.8,0.0,0.0,,,1.0,0.0,,
Xavier Grimble,TE,PIT,27.4,,,,17.0,,,27.4,,,,,25.0,185.0,11.0,0.0,0.0,,,1.0,0.0,,
Justin Hardy,WR,ATL,34.7,,,,19.0,,,34.7,,,,,29.0,204.0,10.5,0.0,0.0,,,2.0,0.0,,
Demetrius Harris,TE,CLE,26.3,,,,14.0,,,26.3,,,,,22.0,151.0,11.0,0.0,0.0,,,2.0,0.0,,
Adam Shaheen,TE,CHI,24.7,,,,14.0,,,24.7,,,,,21.0,156.0,11.0,0.0,0.0,,,2.0,0.0,,
Josh Hill,TE,NO,23.6,,,,15.0,,,23.6,,,,,22.0,145.0,9.8,0.0,0.0,,,2.0,0.0,,
Jesse James,TE,DET,22.1,,,,15.0,,,22.1,,,,,22.0,155.0,10.1,0.0,0.0,,,1.0,0.0,,
Jake Butt,TE,DEN,21.9,,,,15.0,,,21.9,,,,,22.0,162.0,11.0,0.0,0.0,,,1.0,0.0,,
Riley Ridley,WR,CHI,23.0,,,,13.0,,,23.0,,,,,21.0,165.0,12.8,0.0,0.0,,,1.0,0.0,,
James O'Shaughnessy,TE,JAX,20.1,,,,15.0,,,20.1,,,,,23.0,157.0,10.2,0.0,0.0,,,1.0,0.0,,
Nick Boyle,TE,BAL,18.9,,,,16.0,,,18.9,,,,,22.0,137.0,8.7,0.0,0.0,,,1.0,0.0,,
Daniel Brown,TE,NYJ,0.0,,,,,,,0.0,,,,,,,,,,,,,,,
Trent Taylor,WR,SF,1.3,,,,0.0,,,1.3,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,
Dwayne Allen,TE,MIA,19.4,,,,14.0,,,19.4,,,,,22.0,143.0,10.2,0.0,0.0,,,1.0,0.0,,
Tavon Austin,WR,DAL,23.7,,,,9.0,,,23.7,,,,,15.0,90.0,9.5,10.0,65.0,,,1.0,0.0,,
Nick Vannett,TE,SEA,20.5,,,,12.0,,,20.5,,,,,18.0,128.0,10.6,0.0,0.0,,,1.0,0.0,,
Preston Williams,WR,MIA,14.6,,,,10.0,,,14.6,,,,,16.0,120.0,12.3,0.0,0.0,,,0.0,0.0,,
Cordarrelle Patterson,WR,CHI,25.0,,,,8.0,,,25.0,,,,,10.0,74.0,9.8,16.0,93.0,,,0.0,0.0,,
Logan Paulsen,TE,ATL,20.2,,,,12.0,,,20.2,,,,,17.0,127.0,10.8,0.0,0.0,,,1.0,0.0,,
Dontrelle Inman,WR,NE,12.0,,,,6.0,,,12.0,,,,,10.0,88.0,13.7,0.0,0.0,,,1.0,0.0,,
Jaron Brown,WR,SEA,21.8,,,,9.0,,,21.8,,,,,18.0,139.0,14.8,0.0,0.0,,,1.0,0.0,,
Russell Gage,WR,ATL,19.9,,,,11.0,,,19.9,,,,,17.0,138.0,12.9,0.0,0.0,,,1.0,0.0,,
Jake Kumerow,WR,GB,19.3,,,,11.0,,,19.3,,,,,17.0,135.0,12.8,0.0,0.0,,,1.0,0.0,,
Virgil Green,TE,LAC,17.9,,,,11.0,,,17.9,,,,,16.0,121.0,11.1,0.0,0.0,,,1.0,0.0,,
Blake Jarwin,TE,DAL,17.6,,,,11.0,,,17.6,,,,,15.0,120.0,11.1,0.0,0.0,,,1.0,0.0,,
Rhett Ellison,TE,NYG,16.0,,,,11.0,,,16.0,,,,,16.0,115.0,10.0,0.0,0.0,,,1.0,0.0,,
Chester Rogers,WR,IND,17.6,,,,9.0,,,17.6,,,,,14.0,101.0,10.6,4.0,23.0,,,1.0,0.0,,
Darius Slayton,WR,NYG,17.7,,,,9.0,,,17.7,,,,,16.0,135.0,14.6,0.0,0.0,,,1.0,0.0,,
KeeSean Johnson,WR,ARI,17.1,,,,10.0,,,17.1,,,,,15.0,125.0,13.2,0.0,0.0,,,1.0,0.0,,
Jeff Heuerman,TE,DEN,15.9,,,,11.0,,,15.9,,,,,17.0,116.0,10.8,0.0,0.0,,,1.0,0.0,,
