name,pos,madden_ovr
roberto_garza,C,76
patrick_mannelly,C,66
taylor_boggs,C,61
charles_tillman,CB,95
tim_jennings,CB,90
kelvin_hayden,CB,75
zack_bowman,CB,74
sherrick_mcmanis,CB,66
isaiah_frey,CB,60
henry_melton,DT,90
sedrick_ellis,DT,77
stephen_paea,DT,76
nate_collins,DT,67
corvey_irvin,DT,67
harvey_unga,RB,74
tony_fiammetta,RB,69
chris_conte,FS,74
brandon_hardin,FS,70
anthony_walters,FS,68
tom_nelson,FS,63
matt_forte,RB,91
michael_bush,RB,81
armando_allen,RB,67
robbie_gould,K,93
corey_wootton,LE,78
turk_mcbride,LE,72
cornelius_washington,LE,69
cheta_ozougwu,LE,64
matt_slauson,LG,79
edwin_williams,LG,73
james_brown,LG,65
james_anderson,LOLB,82
jt_thomas,LOLB,64
patrick_trahan,LOLB,62
jermon_bushrod,LT,86
eben_britton,LT,70
cory_brandon,LT,59
dj_williams,MLB,80
blake_costanzo,MLB,69
jon_bostic,MLB,67
adam_podlesh,P,73
jay_cutler,QB,86
josh_mccown,QB,71
matt_blanchard,QB,64
julius_peppers,RE,92
shea_mcclellin,RE,73
kyle_moore,RE,72
kyle_long,RG,75
derek_dennis,RG,60
lance_briggs,ROLB,94
khaseem_greene,ROLB,71
lawrence_wilson,ROLB,66
jerry_franklin,ROLB,60
jmarcus_webb,RT,77
jonathan_scott,RT,72
jordan_mills,RT,70
major_wright,SS,81
tom_zbikowski,SS,79
craig_steltz,SS,72
cyhl_quarles,SS,57
martellus_bennett,TE,88
steve_maneri,TE,69
kyle_adams,TE,66
brody_eldridge,TE,65
fendi_onobun,TE,62
brandon_marshall,WR,95
earl_bennett,WR,77
alshon_jeffery,WR,75
devin_hester,WR,73
eric_weems,WR,73
marquess_wilson,WR,66
terrence_toliver,WR,61
joe_anderson,WR,61
trevor_robinson,C,76
kyle_cook,C,75
leon_hall,CB,90
terence_newman,CB,85
adam_jones,CB,79
dre_kirkpatrick,CB,76
brandon_ghee,CB,68
shaun_prater,CB,67
onterio_mccalebb,CB,58
geno_atkins,DT,97
domata_peko,DT,81
devon_still,DT,74
brandon_thompson,DT,66
chris_pressley,RB,79
john_conner,RB,74
reggie_nelson,FS,88
george_iloka,FS,65
benjarvus_green-ellis,RB,82
giovani_bernard,RB,75
bernard_scott,RB,74
cedric_peerman,RB,70
rex_burkhead,RB,68
daniel_herron,RB,68
mike_nugent,K,83
carlos_dunlap,LE,89
jamaal_anderson,LE,74
margus_hunt,LE,70
wallace_gilberry,LE,70
travelle_wharton,LG,82
clint_boling,LG,78
james_harrison,LOLB,86
aaron_maybin,LOLB,74
andrew_whitworth,LT,90
dennis_roland,LT,69
tanner_hawkinson,LT,66
rey_maualuga,MLB,76
jk_schaffer,MLB,58
kevin_huber,P,84
andy_dalton,QB,84
josh_johnson,QB,70
john_skelton,QB,67
zac_robinson,QB,64
michael_johnson,RE,89
robert_geathers,RE,76
dontay_moch,RE,65
dequin_evans,RE,60
kevin_zeitler,RG,87
mike_pollak,RG,77
vontaze_burfict,ROLB,77
sean_porter,ROLB,70
vincent_rey,ROLB,66
emmanuel_lamur,ROLB,64
andre_smith,RT,92
anthony_collins,RT,78
reid_fragel,RT,69
taylor_mays,SS,74
shawn_williams,SS,72
jeromy_miles,SS,71
tyler_eifert,TE,80
jermaine_gresham,TE,80
alex_smith,TE,77
orson_charles,TE,71
richard_quinn,TE,70
clark_harris,TE,63
aj_green,WR,94
mohamed_sanu,WR,74
andrew_hawkins,WR,72
brandon_tate,WR,70
marvin_jones,WR,70
ryan_whalen,WR,68
cobi_hamilton,WR,67
dane_sanzenbacher,WR,65
eric_wood,C,82
doug_legursky,C,73
david_snow,C,69
garrison_sanborn,C,57
stephon_gilmore,CB,82
leodis_mckelvin,CB,77
ron_brooks,CB,68
justin_rogers,CB,67
crezdon_butler,CB,67
tj_heath,CB,60
marcell_dareus,DT,88
torell_troup,DT,68
corbin_bryant,DT,66
