name,pos,madden_ovr
tom_brady,QB,99
aaron_rodgers,QB,98
peyton_manning,QB,98
drew_brees,QB,96
philip_rivers,QB,96
ben_roethlisberger,QB,94
michael_vick,QB,93
matt_ryan,QB,90
tony_romo,QB,88
matt_schaub,QB,88
joe_flacco,QB,88
eli_manning,QB,88
josh_freeman,QB,87
matt_cassel,QB,86
jay_cutler,QB,85
sam_bradford,QB,85
matt_hasselbeck,QB,84
kevin_kolb,QB,84
mark_sanchez,QB,83
donovan_mcnabb,QB,82
kyle_orton,QB,82
jason_campbell,QB,81
ryan_fitzpatrick,QB,81
matthew_stafford,QB,80
kerry_collins,QB,77
alex_smith,QB,77
chad_henne,QB,77
cam_newton,QB,77
colt_mccoy,QB,77
vince_young,QB,77
jon_kitna,QB,76
shaun_hill,QB,76
matt_flynn,QB,76
tim_tebow,QB,75
blaine_gabbert,QB,75
bruce_gradkowski,QB,75
charlie_batch,QB,74
jake_locker,QB,74
rex_grossman,QB,74
mark_brunell,QB,73
christian_ponder,QB,73
charlie_whitehurst,QB,73
seneca_wallace,QB,73
john_beck,QB,73
matt_moore,QB,73
matt_leinart,QB,72
caleb_hanie,QB,72
luke_mccown,QB,72
tarvaris_jackson,QB,72
brady_quinn,QB,72
luke_mccown,QB,72
ryan_mallett,QB,71
byron_leftwich,QB,71
mike_kafka,QB,71
andy_dalton,QB,71
colin_kaepernick,QB,70
dennis_dixon,QB,70
derek_anderson,QB,70
jimmy_clausen,QB,70
sage_rosenfels,QB,70
tyler_thigpen,QB,69
john_skelton,QB,69
billy_volek,QB,69
ricky_stanzi,QB,68
drew_stanton,QB,68
aj_feeley,QB,68
chase_daniel,QB,67
stephen_mcgee,QB,67
josh_johnson,QB,67
hunter_cantwell,QB,67
curtis_painter,QB,67
kyle_boller,QB,66
joe_webb,QB,66
tj_yates,QB,66
graham_harrell,QB,66
brian_hoyer,QB,66
david_carr,QB,65
kevin_oconnell,QB,65
terrelle_pryor,QB,65
nathan_enderle,QB,64
brad_smith,QB,64
levi_brown,QB,63
dan_lefevour,QB,63
jonathan_crompton,QB,63
tyler_palko,QB,62
tyrod_taylor,QB,62
richard_bartel,QB,62
pat_devlin,QB,61
rusty_smith,QB,60
josh_portis,QB,56
thaddeus_lewis,QB,56
adrian_peterson,RB,97
chris_johnson,RB,96
jamaal_charles,RB,95
maurice_jones-drew,RB,95
ovie_mughelli,RB,94
steven_jackson,RB,94
michael_turner,RB,93
arian_foster,RB,92
ray_rice,RB,92
peyton_hillis,RB,91
vonta_leach,RB,91
frank_gore,RB,91
leron_mcclain,RB,90
deangelo_williams,RB,89
matt_forte,RB,89
lesean_mccoy,RB,88
rashard_mendenhall,RB,88
ahmard_hall,RB,88
lawrence_vickers,RB,87
darren_mcfadden,RB,87
knowshon_moreno,RB,85
ahmad_bradshaw,RB,85
greg_jones,RB,84
montell_owens,RB,84
ladainian_tomlinson,RB,84
ronnie_brown,RB,84
thomas_jones,RB,83
marcel_reece,RB,83
joseph_addai,RB,82
benjarvus_green-ellis,RB,82
danny_woodhead,RB,82
ryan_grant,RB,82
felix_jones,RB,81
marshawn_lynch,RB,81
brandon_jacobs,RB,81
legarrette_blount,RB,81
jonathan_stewart,RB,81
cedric_benson,RB,81
jahvid_best,RB,80
shonn_greene,RB,80
fred_jackson,RB,80
